#Virtual Template Bank
#Produced in January 2023 by Florian Aubin, using the Hybrid Code and the L1 expected O4 PSD
#Sorted by HF, and then LF, durations and formatted by Florian Aubin
#BNS (Mtot < 4) minimal match: 0.98, BBH seed (Q < 3) minimal match: 0.98, Full bank minimal match: 0.965
#Here are all the VTs that must be run on 1 band. The selection criteria are: peak frequency of the VT OR the RT LF < 80 Hz, OR RT HF duration < 20 ms. It is advised to run these VTs with a larger autochi2 window (~300 ms)
!id m1 m2 spin1z spin2z duration fpeak fRD
0 32.572857 1.001404 -0.978296 0.0 21.1959202312 212.208399685 291.839502403
1 32.609764 1.00392 -0.976979 0.0 21.1236429684 212.0335804 291.585023373
2 32.647514 1.006413 -0.97567 0.0 21.0515809267 211.853301879 291.323151334
3 33.14511 1.000014 -0.944296 0.0 20.9920436021 210.199098546 288.682587238
4 33.193593 1.00072 -0.945875 0.0 20.934358413 209.814363182 288.170966706
5 32.826678 1.001132 -0.995026 0.0 20.925133513 209.748634466 288.642139304
6 33.240514 1.002668 -0.944978 0.0 20.8658911019 209.562305167 287.815344419
7 32.862668 1.003738 -0.993763 0.0 20.8523205286 209.580830167 288.397717004
8 33.283124 1.004856 -0.94404 0.0 20.7961232221 209.340185993 287.500715436
9 33.239547 1.002399 -0.969685 0.0 20.7382198275 208.363094879 286.440824638
10 33.325016 1.007108 -0.943079 0.0 20.7260324876 209.124301412 287.194491864
11 32.993039 1.00555 -0.997466 0.0 20.701146085 208.572780387 287.05148379
12 33.56262 1.000914 -0.947925 0.0 20.6581227636 207.40509849 284.87565195
13 33.365875 1.009465 -0.942039 0.0 20.6553322027 208.919337791 286.902539069
14 33.167759 1.018222 -0.935959 0.0 20.6516166425 210.470238095 288.977842325
15 33.030138 1.008202 -0.996135 0.0 20.6281000833 208.403341384 286.80405227
16 33.605022 1.003334 -0.946632 0.0 20.58643879 207.206370673 284.589505417
17 33.406995 1.011872 -0.940913 0.0 20.5842804178 208.717473271 286.613967373
18 33.210117 1.020538 -0.934918 0.0 20.5814649946 210.253282382 288.66945776
19 33.067871 1.010864 -0.994768 0.0 20.5550414872 208.232049477 286.553703576
20 33.648693 1.005789 -0.94519 0.0 20.5143774513 207.007580644 284.301689123
21 33.448849 1.01432 -0.939672 0.0 20.512898763 208.517167421 286.326332809
22 33.251459 1.02296 -0.933796 0.0 20.5107156075 210.047331408 288.37545641
23 33.106226 1.013536 -0.993367 0.0 20.4819750121 208.058902561 286.300458819
24 33.320832 1.00477 -0.997562 0.0 20.4816021993 206.512532763 284.210394506
25 33.69336 1.008282 -0.943618 0.0 20.4419839665 206.809521729 284.013514002
26 33.491902 1.016804 -0.938284 0.0 20.4411514627 208.317099317 286.037467406
27 33.293083 1.025432 -0.932586 0.0 20.4396275373 209.844469718 288.084821992
28 33.145192 1.016218 -0.991933 0.0 20.4088869221 207.883940318 286.044384875
29 33.358807 1.007468 -0.996189 0.0 20.4081738865 206.34367442 283.963393609
30 33.940781 1.002428 -0.947059 0.0 20.369285901 205.133292122 281.738361878
31 33.738734 1.010819 -0.941935 0.0 20.3692542681 206.613074197 283.726412227
32 33.536269 1.019322 -0.936745 0.0 20.3690377848 208.116780876 285.746666336
33 33.335467 1.027947 -0.931257 0.0 20.3681871616 209.643208165 287.795166257
34 33.397465 1.010176 -0.994778 0.0 20.334711159 206.172823326 283.713266835
35 33.581671 1.021879 -0.935073 0.0 20.2965743996 207.917103505 285.455374715
36 33.379093 1.030498 -0.929781 0.0 20.2963632343 209.441908153 287.503933543
37 33.784017 1.013407 -0.940211 0.0 20.2962392419 206.4197534 283.443256115
38 33.986563 1.005007 -0.9453 0.0 20.2960223322 204.941645414 281.457094507
39 33.4368 1.012893 -0.993329 0.0 20.2612443183 206.000036433 283.460093252
40 33.65429 1.004046 -0.997531 0.0 20.2607865076 204.464033866 281.384221979
41 33.424079 1.033082 -0.928148 0.0 20.2242035166 209.2403549 287.210735024
42 33.627173 1.024484 -0.933347 0.0 20.2238244028 207.720034293 285.167191462
43 33.829845 1.016007 -0.938461 0.0 20.2232033352 206.224933024 283.157815548
44 34.032888 1.007598 -0.943515 0.0 20.222754549 204.748545055 281.173606079
45 33.476807 1.015621 -0.991844 0.0 20.1877331456 205.825270003 283.203837574
46 33.693089 1.006792 -0.996121 0.0 20.1870279606 204.295950584 281.137985724
47 33.469606 1.035708 -0.926434 0.0 20.1517129731 209.039986076 286.9184077
48 33.673209 1.027101 -0.931596 0.0 20.1510487642 207.521472817 284.876767871
49 33.876224 1.018618 -0.936684 0.0 20.1501758732 206.028642775 282.870126282
50 34.282584 1.001763 -0.946957 0.0 20.1499565439 203.090210071 278.923037198
51 34.079759 1.010202 -0.941704 0.0 20.149469802 204.553991159 280.887894714
52 33.732643 1.009548 -0.994669 0.0 20.1132404617 204.125697779 280.888341332
53 33.515636 1.038346 -0.924695 0.0 20.0792107145 208.838301987 286.62410147
54 33.719783 1.029731 -0.929819 0.0 20.0782392754 207.32146148 284.584159476
55 33.923156 1.021242 -0.934881 0.0 20.077119904 205.830841193 282.580150782
56 34.330965 1.004364 -0.945056 0.0 20.076466702 202.894610077 278.634924225
57 34.127184 1.012818 -0.939867 0.0 20.0761917264 204.35795363 280.599918635
58 33.992412 1.003398 -0.99745 0.0 20.0395307302 202.430332126 278.578084126
59 33.772951 1.012314 -0.993175 0.0 20.0394322537 203.953303802 280.635329424
60 33.56217 1.040997 -0.922934 0.0 20.0066693965 208.635166907 286.327663357
61 33.766895 1.032373 -0.928017 0.0 20.0054186529 207.119969832 284.289342058
62 33.970644 1.023878 -0.933052 0.0 20.0040620729 205.631528595 282.287895987
63 34.379904 1.006977 -0.94313 0.0 20.002940889 202.697518215 278.344561327
64 34.175174 1.015447 -0.938003 0.0 20.0029084348 204.160433317 280.309675319
65 33.814014 1.015089 -0.99164 0.0 19.9656242852 203.778737545 280.378919086
66 34.032473 1.006188 -0.995976 0.0 19.9655195783 202.261774398 278.33058614
67 33.609212 1.043661 -0.921149 0.0 19.9341053667 208.43067137 286.029196552
68 33.814546 1.035027 -0.92619 0.0 19.9325950578 206.917010294 283.992340601
69 34.018698 1.026527 -0.931197 0.0 19.9309859294 205.430663717 281.993313541
70 34.223732 1.018087 -0.936113 0.0 19.9296612162 203.961383048 280.017116526
71 34.632455 1.001124 -0.946597 0.0 19.9293942329 201.052755572 276.112867967
72 34.42941 1.009603 -0.941177 0.0 19.9293513117 202.498995455 278.052007823
73 34.073358 1.008986 -0.994456 0.0 19.8915318459 202.090908635 278.079451703
74 33.447963 1.055146 -0.91441 0.0 19.863198503 209.770324088 287.811318007
75 33.656756 1.046338 -0.919341 0.0 19.8615261721 208.224821244 285.728720037
76 33.862739 1.037694 -0.924338 0.0 19.8597567228 206.712583421 283.693163723
77 34.067316 1.029188 -0.929314 0.0 19.8579324559 205.228374173 281.696564686
78 34.272867 1.020741 -0.934196 0.0 19.8564018451 203.760817081 279.722261116
79 34.479492 1.012242 -0.939198 0.0 19.8556949745 202.298960587 277.757159592
80 34.68409 1.003738 -0.944518 0.0 19.8553061373 200.851536054 275.815248813
81 34.335237 1.002828 -0.997323 0.0 19.8187428463 200.411409555 275.792009786
82 34.115073 1.011794 -0.99289 0.0 19.8175329621 201.917724361 277.82466942
83 33.494848 1.057856 -0.912656 0.0 19.7908814386 209.563228048 287.509948076
84 33.7048 1.049029 -0.917511 0.0 19.7889183026 208.017597724 285.426219417
85 33.911471 1.040375 -0.922461 0.0 19.7868966007 206.506726588 283.391865544
86 34.116507 1.031862 -0.927406 0.0 19.7848707695 205.02448101 281.397444836
87 34.322589 1.023407 -0.932252 0.0 19.7831625187 203.558695306 279.425060472
88 34.53016 1.014893 -0.937193 0.0 19.7819930768 202.097374442 277.459966008
89 34.736317 1.006365 -0.942413 0.0 19.7811697977 200.648791357 275.515339177
90 34.377332 1.005651 -0.995738 0.0 19.744525978 200.240222172 275.5397528
91 34.157616 1.014612 -0.991279 0.0 19.7435279102 201.74221154 277.566238274
92 33.542176 1.060581 -0.910884 0.0 19.7185265583 209.354885714 287.206757616
93 33.753343 1.051734 -0.915658 0.0 19.7162970785 207.809073334 285.121783528
94 33.960745 1.043068 -0.920559 0.0 19.7140600996 206.299439967 283.088444775
95 34.166277 1.034548 -0.92547 0.0 19.7118421911 204.81911233 281.096105931
96 34.372904 1.026085 -0.93028 0.0 19.7098858526 203.35505018 279.125557074
97 34.581425 1.017557 -0.93516 0.0 19.7082386347 201.894287876 277.160484655
98 34.789134 1.009005 -0.940281 0.0 19.7070020129 200.444600515 275.213232293
99 34.991708 1.000494 -0.945915 0.0 19.7065057973 199.017689253 273.302758153
100 34.420325 1.008482 -0.994103 0.0 19.670258635 200.06658694 275.283634433
101 33.589945 1.06332 -0.909093 0.0 19.6461675222 209.14537401 286.901840164
102 33.802381 1.054453 -0.913784 0.0 19.6436643936 207.599192582 284.815356845
103 34.010563 1.045776 -0.918633 0.0 19.6411950452 206.090682666 282.782858366
104 34.216627 1.037248 -0.923508 0.0 19.6388088133 204.612186633 280.792468062
105 34.42382 1.028777 -0.928281 0.0 19.6365192988 203.149807723 278.823670511
106 34.633293 1.020234 -0.933099 0.0 19.634436801 201.68968648 276.858704668
107 34.842537 1.011659 -0.938124 0.0 19.632785692 200.238913223 274.908876106
108 35.046843 1.003121 -0.943647 0.0 19.6319802057 198.810532916 272.995118587
109 34.68311 1.002294 -0.997221 0.0 19.5967593136 198.402389955 273.020051649
110 34.464227 1.011322 -0.992418 0.0 19.5959201656 199.890467402 275.023607091
111 33.63815 1.066075 -0.907284 0.0 19.573775186 208.934690588 286.595205451
112 33.851912 1.057187 -0.911888 0.0 19.5710183598 207.388034197 284.507037298
113 34.060924 1.048496 -0.916683 0.0 19.5683682648 205.880479448 282.475137538
114 34.267565 1.039961 -0.92152 0.0 19.5657955443 204.403676428 280.486497469
115 34.475347 1.031481 -0.926253 0.0 19.5631130558 202.943024958 278.5194657
116 34.685774 1.022924 -0.931012 0.0 19.5605796557 201.483438444 276.554475465
117 34.896525 1.014325 -0.935941 0.0 19.5585755219 200.031802178 274.602359307
118 35.102535 1.005762 -0.941357 0.0 19.557447405 198.601989618 272.685438861
119 34.728261 1.005135 -0.995462 0.0 19.5218883828 198.225931265 272.758696853
120 34.509046 1.014171 -0.990683 0.0 19.5215118135 199.711845123 274.759647115
121 33.686785 1.068846 -0.905457 0.0 19.5013630853 208.72288788 286.286927201
122 33.90193 1.059935 -0.909972 0.0 19.4983809876 207.175554683 284.196784445
123 34.111831 1.051231 -0.914708 0.0 19.4955386171 205.668880461 282.165342885
124 34.319096 1.042686 -0.919504 0.0 19.4928104373 204.193668633 280.178291956
125 34.527498 1.034199 -0.924198 0.0 19.4896193504 202.734552094 278.212769471
126 34.738876 1.025627 -0.928896 0.0 19.4866876828 201.275660827 276.247935816
127 34.951094 1.017006 -0.933734 0.0 19.4843170149 199.823217563 274.293646338
128 35.158772 1.008418 -0.939044 0.0 19.4829135943 198.392193496 272.37388705
129 34.55478 1.01703 -0.988899 0.0 19.4470177438 199.530714281 274.491759625
130 34.774403 1.007985 -0.99365 0.0 19.4469418139 198.046765067 272.493107981
131 33.735846 1.071632 -0.903613 0.0 19.4289562567 208.509956399 285.977003547
132 33.952435 1.062698 -0.908035 0.0 19.4257496234 206.961820264 283.884678667
133 34.163289 1.05398 -0.91271 0.0 19.4227222108 205.455778239 281.85334619
134 34.371225 1.045426 -0.917462 0.0 19.4197237635 203.982059319 279.867732193
135 34.58028 1.036929 -0.922113 0.0 19.4160956572 202.524512757 277.903728791
136 34.792602 1.028344 -0.926752 0.0 19.4127448807 201.066311088 275.939049048
137 35.006237 1.019701 -0.931502 0.0 19.4100502115 199.613266471 273.982883422
138 35.215535 1.011089 -0.936711 0.0 19.4083869995 198.181130985 272.060469432
139 35.418348 1.002493 -0.942595 0.0 19.4083527492 196.771089483 270.175519859
140 34.821535 1.010844 -0.991784 0.0 19.3719345421 197.864974291 272.223390375
141 35.038512 1.001799 -0.996916 0.0 19.3719032656 196.400321547 270.255598073
142 33.785326 1.074435 -0.901752 0.0 19.3565332868 208.295954593 285.665518285
143 34.003425 1.065476 -0.906078 0.0 19.3531311043 206.746811788 283.570703706
144 34.215294 1.056743 -0.910687 0.0 19.3499435848 205.241313276 281.539318897
145 34.423957 1.048179 -0.915392 0.0 19.3465848773 203.768935858 279.554915314
146 34.6337 1.039672 -0.92 0.0 19.3425174453 202.312793572 277.592216803
147 34.846956 1.031073 -0.924581 0.0 19.3387906326 200.855340695 275.627768212
148 35.061949 1.022411 -0.929246 0.0 19.3357655128 199.401950878 273.670095394
149 35.272819 1.013776 -0.934357 0.0 19.3338697923 197.968895298 271.745302645
150 35.476782 1.005163 -0.940168 0.0 19.3337092331 196.559138622 269.859921466
151 34.869651 1.013711 -0.989865 0.0 19.296893123 197.680578319 271.94958299
152 35.087438 1.004652 -0.994943 0.0 19.2964876286 196.216885803 269.98238216
153 33.835224 1.077254 -0.899875 0.0 19.2841175928 208.080854098 285.352443416
154 34.054893 1.06827 -0.904101 0.0 19.2805230524 206.53058927 283.254944579
155 34.267853 1.05952 -0.908641 0.0 19.2771989362 205.025366804 281.22311759
156 34.477301 1.050945 -0.913295 0.0 19.2733912195 203.554218901 279.23974222
157 34.68777 1.042429 -0.917858 0.0 19.2688736129 202.099395342 277.278225424
158 34.901941 1.033817 -0.922382 0.0 19.2647834014 200.642802706 275.314169333
159 35.11823 1.025135 -0.926967 0.0 19.261487638 199.18924382 273.355266029
160 35.330616 1.016478 -0.931984 0.0 19.2593874951 197.755456228 271.428375413
161 35.535705 1.00785 -0.937723 0.0 19.2591081509 196.346116063 269.542766661
162 34.918733 1.016587 -0.987895 0.0 19.2218094257 197.493619502 271.671768082
163 35.13739 1.007513 -0.992916 0.0 19.2210524439 196.030750318 269.704953894
164 33.885533 1.08009 -0.897982 0.0 19.2117062186 207.86471274 285.037860859
165 34.106843 1.07108 -0.902104 0.0 19.2079342663 206.313145551 282.93739328
166 34.320968 1.062312 -0.90657 0.0 19.2044221182 204.808043659 280.904865278
167 34.531267 1.053725 -0.911171 0.0 19.2001272286 203.337872006 278.922162922
168 34.742494 1.045199 -0.915686 0.0 19.1951950039 201.884365728 276.961808707
169 34.957558 1.036574 -0.920155 0.0 19.1907701694 200.42871364 274.99828525
170 35.175075 1.027875 -0.924666 0.0 19.1871892054 198.975147459 273.038421787
171 35.798636 1.0019 -0.941295 0.0 19.1849992406 194.7375809 267.361853154
172 35.38892 1.019197 -0.929592 0.0 19.1849192907 197.540865687 271.109772152
173 35.595117 1.010554 -0.93526 0.0 19.1845593215 196.132038591 269.224069852
174 35.188349 1.010383 -0.990836 0.0 19.1455978207 195.842009534 269.423456661
175 35.404643 1.0013 -0.996225 0.0 19.1452715338 194.39694433 267.485263863
176 33.93625 1.082944 -0.896074 0.0 19.1392891034 207.647514512 284.721761343
177 34.374641 1.065119 -0.904476 0.0 19.1315661047 204.589255754 280.584460857
178 34.585857 1.056519 -0.90902 0.0 19.1268009614 203.119906285 278.602191806
179 35.013805 1.039346 -0.917901 0.0 19.1167215517 200.213061043 274.680118074
180 35.232482 1.03063 -0.922341 0.0 19.1129126553 198.759786486 272.719724167
181 35.447732 1.021932 -0.927181 0.0 19.1104960069 197.325135567 270.789520291
182 35.655016 1.013274 -0.93278 0.0 19.1099807602 195.916887742 268.903811352
183 35.859075 1.004613 -0.938779 0.0 19.1099373573 194.524483818 267.043996442
184 35.240293 1.013263 -0.988705 0.0 19.0701212499 195.650728593 269.138003765
185 35.457307 1.004168 -0.994046 0.0 19.0695725211 194.207027878 267.201013052
186 33.987375 1.085814 -0.89415 0.0 19.0669167342 207.429322333 284.404220508
187 34.428875 1.067942 -0.902358 0.0 19.0586253096 204.369054073 280.261966544
188 38.922414 1.000973 -0.640308 0.0 19.0434757195 192.664009253 261.799698476
